Village_ID,Village_Name,euclidean_dominant_muni,euclidean_dominant_Pij,euclidean_dominant_dist_m,network_dominant_muni,network_dominant_Pij,network_dominant_dist_m,agreement,SIFRA,home_region
10123763,Volče,Postojna,0.1913788038448662,13069.292253217081,Postojna,0.1272527056674486,11685.074342586866,1,91,Pivka
16567540,Zabork,Zreče,0.4739027218822165,2700.6665843824558,Zreče,0.2209885862779945,6742.3845490792255,1,144,Zreče
10103118,Praše,Kranj,0.33684178023376116,6593.2086270646705,Kranj,0.3460503206372786,6569.525242506976,1,52,Kranj
10102871,Mavčiče,Ljubljana,0.29021937319100144,16358.834341113672,Ljubljana,0.3426622807290596,5467.887145751746,1,52,Kranj
10096359,Gorenja Kanomlja,Idrija,0.13234625474364747,9910.302719897107,Idrija,0.1751420581765366,13019.23257875284,1,36,Idrija
10126746,Hraše,Radovljica,0.5725457240726805,3147.243397006339,Radovljica,0.5815510069380314,3668.679763215621,1,102,Radovljica
10127432,Zadnja vas,Radovljica,0.3180987568050273,5690.578353735234,Radovljica,0.2302321094458937,7448.694655460876,1,102,Radovljica
10148456,Jelenče,Maribor,0.5781446473161859,8478.785290358519,Maribor,0.585501925383346,3716.017064149668,1,89,Pesnica
10148332,Cirknica,Maribor,0.5248051671788705,9505.92031315222,Maribor,0.5470496609204059,4837.291337734842,1,118,Šentilj
10144701,Laze,Velenje,0.7121453804939332,2829.6644677417144,Velenje,0.5657413907098023,5190.265878719013,1,133,Velenje
10122392,Loperšice,Ormož,0.5607122306394682,4246.151198438416,Ormož,0.586912978893093,4726.285008192159,1,87,Ormož
10132886,Fošt,Slovenska Bistrica,0.22988000882272627,6528.713502674168,Slovenska Bistrica,0.2639110829221493,7531.145162229962,1,113,Slovenska Bistrica
10117208,Bukovica,Renče-Vogrsko,1.0,0.0,Renče-Vogrsko,0.9999997006517276,0.0,1,201,Renče-Vogrsko
10086981,Vojnik,Vojnik,1.0,0.0,Vojnik,0.9999987635459706,0.0,1,139,Vojnik
10085977,Črešnjevec,Celje,0.19080573249608154,10762.829553607175,Celje,0.2572675390945743,6331.860211899108,1,139,Vojnik
10138515,Bukovje v Babni Gori,Šentjur,0.15013369556623468,7810.057618225361,Šentjur,0.1604602207860465,10183.322705338627,1,124,Šmarje pri Jelšah
10123917,Borovci,Dornava,0.40453183468719867,1420.0880254406766,Dornava,0.3946784775020498,1738.0694623055865,1,168,Markovci
10142946,Mačji Dol,Ljubljana,0.15193204012122005,34685.74578987743,Ljubljana,0.1756284293549452,9524.422902869352,1,130,Trebnje
10134935,Zbelovska Gora,Šmarje pri Jelšah,0.12629071680377316,6530.309410740046,Rogaška Slatina,0.1282432420345303,6287.613103140422,0,114,Slovenske Konjice
10108217,Turnišče,Turnišče,1.0,0.0,Turnišče,0.9999998354641392,0.0,1,132,Turnišče
10107938,Gaberje,Lendava,0.7665542265825286,3570.364827297065,Lendava,0.6845480394209056,5583.2581877555485,1,59,Lendava
10110955,Utik,Ljubljana,0.37671146375132925,13056.694872746319,Ljubljana,0.364989071691593,2461.6519278656697,1,138,Vodice
10093333,Radvenci,Maribor,0.14916466522816213,23790.168137278895,Maribor,0.1696231268517992,6764.181476566462,1,29,Gornja Radgona
10093236,Plitvički Vrh,Gornja Radgona,0.23405377272785574,4822.399921201061,Gornja Radgona,0.2245792947342168,5962.474602465586,1,29,Gornja Radgona
10115779,Dolnji Slaveči,Rogašovci,0.23551704131621937,2810.1601377857455,Rogašovci,0.2521814161378661,3817.515716987184,1,158,Grad
10115981,Sveti Jurij,Rogašovci,0.8176549986485012,823.7718130647588,Rogašovci,0.8804206539105506,863.2998073251741,1,105,Rogašovci
10129591,Leskovec v Podborštu,Radeče,0.20352438117963212,3803.3800756695355,Radeče,0.0963777646390906,8585.052489449643,1,110,Sevnica
10147964,Rošnja,Maribor,0.25708318976956546,12486.962040464447,Maribor,0.3115541521852181,2250.7601102054173,1,115,Starše
10085942,Celje,Celje,1.0,0.0,Celje,0.9999999764285228,0.0,1,11,Celje
10091578,Selce,Ljubljana,0.2274805690655333,27329.57703660999,Ljubljana,0.2765946755869746,12564.167082924068,1,68,Lukovica
10146097,Vrh pri Mlinšah,Ljubljana,0.19988148730399352,28358.6597179768,Ljubljana,0.234381310398791,9910.089307831482,1,142,Zagorje ob Savi
10145422,Brezje,Zagorje ob Savi,0.14402771641302106,6681.466904804663,Ljubljana,0.1764504939869967,12422.109441255345,0,142,Zagorje ob Savi
10134595,Planina na Pohorju,Zreče,0.19264921859174475,5653.963211765708,Zreče,0.1417605707336496,10381.869745727325,1,144,Zreče
10135206,Gorica pri Dobjem,Celje,0.14072233695118172,15651.086224284882,Celje,0.1270724996425668,2304.623087060986,1,154,Dobje
10125405,Sobetinci,Ptuj,0.35349319186266787,7954.879005993743,Ptuj,0.361324501479704,3842.910454008691,1,168,Markovci
10087236,Bloška Polica,Cerknica,0.1927427188484037,9558.713302531884,Cerknica,0.2621207982473472,4233.82458265911,1,13,Cerknica
10125626,Strmec pri Polenšaku,Ptuj,0.27875678481054045,10069.289945174884,Ptuj,0.3285989266053034,4173.811738942158,1,24,Dornava
10125944,Zgornji Velovlek,Ptuj,0.48939433583137204,6605.527987980976,Ptuj,0.5126932288695346,6061.691183089493,1,18,Destrnik
10124557,Kicar,Ptuj,0.6351008179654261,4791.502895752021,Ptuj,0.7072498524118773,5292.264232882346,1,96,Ptuj
10145511,Družina,Zagorje ob Savi,0.5414035469655658,2240.401749686873,Zagorje ob Savi,0.4949482188836341,3320.978834497834,1,142,Zagorje ob Savi
10093180,Okoslavci,Sveti Jurij ob Ščavnici,0.19083203139322857,3336.0005995203296,Sveti Jurij ob Ščavnici,0.1536508448423401,4710.588454076101,1,100,Radenci
10093171,Očeslavci,Sveti Jurij ob Ščavnici,0.13216468126049588,4131.464631338383,Sveti Jurij ob Ščavnici,0.1237184997467128,5368.378940676105,1,29,Gornja Radgona
10113822,Stročja vas,Ljutomer,0.7649017414612215,1977.9787663167672,Ljutomer,0.7736308542132404,2381.744184809864,1,63,Ljutomer
10141192,Potoki,Kobarid,0.252959027038635,5795.18765873893,Kobarid,0.3771681498887538,6373.816281433774,1,46,Kobarid
10122643,Sejanci,Ptuj,0.19495823032619605,15909.387197500726,Ptuj,0.1958981762742141,3212.864625199638,1,205,Sveti Tomaž
10145325,Velika Ligojna,Vrhnika,0.5180605992520678,3469.755034580972,Vrhnika,0.4908409824295002,4258.111241600882,1,140,Vrhnika
10112559,Rašica,Velike Lašče,0.30128388939391876,2186.8013169924698,Velike Lašče,0.3070046243109068,2632.305944830789,1,134,Velike Lašče
